id;year;Hydric deficit Winter (mm);Hydric deficit Spring;Hydric deficit Summer;Hydric deficit Fall
71079;1987;35,75;-120,55;-199,59;-9,81
71079;1988;142,61;140,77;-205,23;-42,05
71079;1989;55,88;-174,38;-251,26;-50,94
71079;1990;-4,55;-133,8;-272,57;104,8
71079;1991;38,59;-98,62;-203,75;44,86
71079;1992;-25,5;58,17;-233,44;186,23
71079;1993;-95,31;44,29;-40,16;117,83
71079;1994;77;-37,05;-178,13;85,49
71079;1995;87,59;-180,2;-213,37;50,14
71079;1996;131,3;-125,77;-149,65;120,03
71079;1997;6,24;-107,15;-53,51;100,6
71079;1998;-20,04;-101,82;-177,45;61,93
71079;1999;13,58;-136,55;-31,76;62,1
71079;2000;-7,38;-85,4;-213,94;136,86
71079;2001;64,62;-135,59;-153,45;-33,3
71079;2002;-20,4;-51,44;-113,33;142,62
71079;2003;81,76;-180,88;-264,37;109,31
71079;2004;120,9;-138,52;-242,34;109,72
71079;2005;-15,17;-199,14;-120,88;63,12
71079;2006;47,13;-179,79;-112,58;7,06
71079;2007;56,77;-44,18;-225,1;-5,73
71079;2008;73,23;-55,12;-171,55;133,36
71079;2009;51,02;-113,28;-246,35;95,74
71079;2010;34,7;-59,64;-221,14;131,38
71079;2011;14,71;-235,76;-195,4;30,36
71079;2012;-35,43;-57,09;-254,54;90,68
71079;2013;242,38;31,57;-269,8;104,39
71079;2014;146,21;-126,92;-132,36;42,1
71079;2015;78,75;-228,08;-206,76;-44,56
71079;2016;144,24;-115,63;-274,1;-8,31