id;year;Annual Average Temperature Â°C
71079;1987;12,58
71079;1988;12,94
71079;1989;13,68
71079;1990;13,57
71079;1991;12,55
71079;1992;12,93
71079;1993;12,49
71079;1994;13,22
71079;1995;12,78
71079;1996;12,64
71079;1997;13,70
71079;1998;12,86
71079;1999;13,12
71079;2000;13,28
71079;2001;12,92
71079;2002;13,25
71079;2003;14,05
71079;2004;13,02
71079;2005;12,50
71079;2006;13,51
71079;2007;12,68
71079;2008;12,64
71079;2009;13,35
71079;2010;12,30
71079;2011;14,12
71079;2012;13,10
71079;2013;13,30
71079;2014;14,48
71079;2015;14,36
71079;2016;14,13