year,annual-average-temperature
,(Â°C)
1987,"13,1493150684932"
1988,"13,6131147540984"
1989,"14,4334246575342"
1990,"14,2246575342466"
1991,"13,227397260274"
1992,"13,4896174863388"
1993,"13,0367123287671"
1994,"14,2523287671233"
1995,"13,9106849315069"
1996,"13,2827868852459"
1997,"14,4884931506849"
1998,"13,5282191780822"
1999,"13,8739726027397"
2000,"14,1718579234973"
2001,"13,5884931506849"
2002,"13,9452054794521"
2003,"14,6364383561644"
2004,"13,5636612021858"
2005,"13,4515068493151"
2006,"14,4084931506849"
2007,"13,4805479452055"
2008,"13,4483606557377"
2009,"14,1621917808219"
2010,"12,8353424657534"
2011,"14,8120547945205"
2012,"13,7983606557377"
2013,"12,9808219178082"
2014,"14,2416438356164"
2015,"13,8865753424658"
2016,"13,8010928961749"
